PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Leon, RD; Rodriguez-Rodriguez, R; Gomez-Gasquet, P; Mula, J				Leon, Ramona-Diana; Rodriguez-Rodriguez, Raul; Gomez-Gasquet, Pedro; Mula, Josefa			Social network analysis: A tool for evaluating and predicting future knowledge flows from an insurance organization	TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE			English	Article						Knowledge sharing; Future knowledge flows; Social network analysis; Strategic planning and implementation; Insurance sector	JOB-PERFORMANCE; INNOVATION; PERSPECTIVE; ONLINE; COMMUNITIES; SYSTEM; MEDIA; TRUST; COMMUNICATION; PROFESSIONALS	The paper aims to identify the individuals who influence the knowledge sharing processes from an internal social network and to forecast the future knowledge flows that may cross it. Exploratory research is employed, and a four-phase methodology is developed which combines a social network analysis with structural modeling. This is applied to the internal enterprise social network used by a British insurance company. The main results emphasize the most influential groups, their relationships, future knowledge flows, and the connection between the network's heterogeneity and structure, and employees' future knowledge sharing intention. These findings have both theoretical and practical implications. The theory is extended by proving that a social network analysis can be used as a tool for evaluating and predicting future knowledge flows. At the same time, a solution is offered to decision-makers so they will be able to: (i) identify the potential knowledge loss; (ii) determine leaders; (iii) establish who is going to act as a knowledge diffuser, by sharing what they know with their coworkers, and who is going to act as a knowledge repository, by focusing on acquiring increasingly more knowledge; (iv) identify the elements that influence employees' future knowledge sharing intention. (C) 2016 Elsevier Inc. All rights reserved.	[Leon, Ramona-Diana; Rodriguez-Rodriguez, Raul; Gomez-Gasquet, Pedro] Univ Politecn Valencia, CIGIP, Ed 8 B Acc L-2a,Planta Ciudad Politecn Innovc, E-46022 Valencia, Spain; [Mula, Josefa] Univ Politecn Valencia, Res Ctr Prod Management & Engn CIGIP, Plaza Ferrandiz & Carbonell 2, Alicante 03801, Spain	Leon, RD (reprint author), Univ Politecn Valencia, CIGIP, Ed 8 B Acc L-2a,Planta Ciudad Politecn Innovc, E-46022 Valencia, Spain.	raleo@upvnet.upv.es; raurodro@cigip.upv.es; pgomez@cigip.upv.es; fmula@omp.upv.es	Mula, Josefa/F-4804-2012	Mula, Josefa/0000-0002-8447-3387; Leon, Ramona/0000-0002-1448-0522	European Commission [FP7-PEOPLE-2013-IAPP 324408]	"The research reported in this paper is supported by the European Commission for the project "Engaging in Knowledge Networking via an interactive 3D social Supplier Network (KNOWNET)" (FP7-PEOPLE-2013-IAPP 324408)".		83	8	8	9	58	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0040-1625	1873-5509		TECHNOL FORECAST SOC	Technol. Forecast. Soc. Chang.	JAN	2017	114						103	118		10.1016/j.techfore.2016.07.032				16	Business; Planning & Development	Business & Economics; Public Administration	EG0TA	WOS:000390743900011					2018-08-16	
J	Safarzynska, K; van den Bergh, JCJM				Safarzynska, Karolina; van den Bergh, Jeroen C. J. M.			Integrated crisis-energy policy: Macro-evolutionary modelling of technology, finance and energy interactions	TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE			English	Article						Financial-etonomic crisis; Energy; Inequality; Macroevolutionary modelling	ENVIRONMENTALLY FRIENDLY TECHNOLOGIES; NETWORK EXTERNALITIES; ECONOMIC-GROWTH; CREDIT; COMPETITION; TRANSITIONS; CONSUMERS; INDUSTRY; DEMAND	Addressing four persistent problems, namely human-induced environmental change, financial instability, inequality and unemployment has now become an urgent necessity. To better grasp complex interactions between technological, financial and energy systems, we propose a formal behavioral-evolutionary macroeconomic model. It describes the coevolution of four populations, namely of heterogeneous consumers, producers, power plants and banks, interacting through interconnected networks. We examine how decisions by all these economic agents affect financial stability, the direction of technological change and energy use. The approach generates non-trivial, even surprising insights, such as that brand loyalty, captured by a network externality on the demand side, can increase the likelihood of bankruptcies of banks. Cascades of such bankruptcies are found to be more likely under greater income inequalities and higher electricity prices. We employ the model to assess macroeconomic impacts of sustainability policies along three dimensions: environmental effectiveness, financial stability and socio-economic consequences. (C) 2016 Elsevier Inc. All rights reserved.	[Safarzynska, Karolina] Warsaw Univ, Fac Econ Sci, Dluga 44-50, PL-00241 Warsaw, Poland; [van den Bergh, Jeroen C. J. M.] ICREA, Barcelona, Spain; [van den Bergh, Jeroen C. J. M.] Univ Autonoma Barcelona, Inst Environm Sci & Technol, Edifici Z Campus UAB, Bellaterra 08193, Spain	Safarzynska, K (reprint author), Warsaw Univ, Fac Econ Sci, Dluga 44-50, PL-00241 Warsaw, Poland.	ksafarzynslca@wne.uw.edu.pl; jeroen.bergh@uab.es			National Science Centre, Poland [2013/08/S/HS4/00254]; ICREA	We would like to thank Gerald Silverberg for his helpful comments and suggestions. The research was supported by the National Science Centre, Poland, grant 2013/08/S/HS4/00254.		79	4	4	4	19	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0040-1625	1873-5509		TECHNOL FORECAST SOC	Technol. Forecast. Soc. Chang.	JAN	2017	114						119	137		10.1016/j.techfore.2016.07.033				19	Business; Planning & Development	Business & Economics; Public Administration	EG0TA	WOS:000390743900012					2018-08-16	
J	Mendi, P; Costamagna, R				Mendi, Pedro; Costamagna, Rodrigo			Managing innovation under competitive pressure from informal producers	TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE			English	Article						Innovation; Informality; Competitive pressure; Latin America; Africa	RESEARCH-AND-DEVELOPMENT; FIRM-LEVEL; RESOURCE CONSTRAINTS; RESEARCH AGENDA; ECONOMY; PRODUCTIVITY; GROWTH; SECTOR; MARKET; ENTREPRENEURSHIP	The existence of a large informal sector may be a factor constraining formal firms' choices of innovation strategies in many developing countries. This paper addresses this issue and studies the impact on innovation of competition against firms in the informal sector. Using the World Bank's Enterprise Survey data from a sample of African and Latin American countries, we find that the marginal impact of informality on innovation by formal firms decreases with the intensity of competitive pressure from informal firms, consistent with an inverted-U relationship between propensity to innovate and competitive pressure from firms in the informal sector. This pattern arises even after controlling for the number of competitors, suggesting that the pressure that informal firms exert on formal firms go beyond a mere increase in the number of competitors. (C) 2016 Elsevier Inc. All rights reserved.	[Mendi, Pedro] Univ Navarra Pamplona, Dept Econ, Pamplona 31009, Spain; [Costamagna, Rodrigo] Univ Sabana Autopista Norte, INALDE Business Sch, Km 7, Costado Occidental, Chia, Colombia	Mendi, P (reprint author), Univ Navarra Pamplona, Dept Econ, Pamplona 31009, Spain.	pmendi@unav.es; rodrigo.costamagna@inalde.edu.co	Mendi, Pedro/K-9218-2014	Mendi, Pedro/0000-0001-7253-7534	Ministerio de Economia y Competitividad [ECO2014-55236-R]; Fundacion Ramon Areces	We thank two anonymous referees for very helpful comments and suggestions that have greatly improved the quality of this paper. Financial support from Ministerio de Economia y Competitividad (ECO2014-55236-R), and Fundacion Ramon Areces is gratefully acknowledged. All errors are our own.		79	2	3	2	28	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0040-1625	1873-5509		TECHNOL FORECAST SOC	Technol. Forecast. Soc. Chang.	JAN	2017	114						192	202		10.1016/j.techfore.2016.08.013				11	Business; Planning & Development	Business & Economics; Public Administration	EG0TA	WOS:000390743900017					2018-08-16	
J	Siepel, J; Cowling, M; Coad, A				Siepel, Josh; Cowling, Marc; Coad, Alex			Non-founder human capital and the long-run growth and survival of high-tech ventures	TECHNOVATION			English	Article						Long-run performance; Growth; Survival; Non-founder human capital; NTBF; Threshold theory; Entrepreneurial exit; Firm aging	TECHNOLOGY-BASED FIRMS; RESOURCE-BASED VIEW; ENTREPRENEURIAL EXIT; TEAM COMPOSITION; UPPER ECHELONS; PERFORMANCE; INNOVATION; DETERMINANTS; EMPLOYMENT; KNOWLEDGE	This paper considers the impact of non-founder human capital on high-tech firms' long-run growth and survival. Drawing upon threshold theory, we explore how lack of access to complementary skills at different points in the life course impacts founders' thresholds for exit. We examine these factors using a unique longitudinal dataset tracking the performance and survival of a sample of UK high-tech firms over thirteen years as the firms move from youth into maturity. We find that firms that survive but do not grow are characterized by difficulty in accessing complementary managerial skills in youth, while firms that grow but subsequently exit are characterized by shortfalls of specialized complementary skills during adolescence. Firms that grow and survive do not report skills shortfalls. We discuss the implications of these resource constraints for entrepreneurs' decisions to persist or exit through the life course.	[Siepel, Josh; Coad, Alex] Univ Sussex, SPRU, Jubilee Bldg, Brighton BN1 9SL, E Sussex, England; [Cowling, Marc] Univ Brighton, Brighton BN2 4AT, E Sussex, England; [Coad, Alex] European Commiss, JRC IPTS, Seville, Spain	Siepel, J (reprint author), Univ Sussex, SPRU, Jubilee Bldg, Brighton BN1 9SL, E Sussex, England.	j.siepel@sussex.ac.uk			NESTA; UK Innovation Research Centre [ES/J008427/1]	This work is based on research funded by NESTA and the UK Innovation Research Centre research Grant ES/J008427/1. This work contains statistical data from ONS which is Crown Copyright. The use of the ONS statistical data in this work does not imply the endorsement of the ONS in relation to the interpretation or analysis of the statistical data. This work uses research datasets which may not exactly reproduce National Statistics aggregates. The authors are grateful for comments received from Albert Bravio-Biosca and participants at the NESTA High Growth Firm research symposium, Babson College Entrepreneurship Research Conference, ZEW Workshop on Innovation, UK IRC closing conference, GW October Conference, Sussex University research seminar, the editor and two anonymous reviewers. The views expressed are purely those of the authors and may not in any circumstances be regarded as stating an official position of the European Commission. The usual disclaimers apply.		96	3	3	6	37	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0166-4972	1879-2383		TECHNOVATION	Technovation	JAN	2017	59						34	43		10.1016/j.technovation.2016.09.001				10	Engineering, Industrial; Management; Operations Research & Management Science	Engineering; Business & Economics; Operations Research & Management Science	EF8ZW	WOS:000390621500003		gold_or_bronze			2018-08-16	
J	Martinez, MG; Zouaghi, F; Garcia, MS				Garcia Martinez, Marian; Zouaghi, Ferdaous; Sanchez Garcia, Mercedes			Capturing value from alliance portfolio diversity: The mediating role of R&D human capital in high and low tech industries	TECHNOVATION			English	Article						Alliance portfolio diversity; Innovation performance; R&D human capital; Education; Skills; Absorptive capacity; Generalised structural equation model; Spain	RADICAL PRODUCT INNOVATION; ABSORPTIVE-CAPACITY; FIRM PERFORMANCE; MODERATING ROLE; DEVELOPMENT COOPERATION; INTERNAL CAPABILITIES; KNOWLEDGE ACQUISITION; COMPETITIVE ADVANTAGE; DEVELOPMENT PERSONNEL; ORGANIZATIONAL SIZE	Research has demonstrated the value of external linkages to augment in-house R&D efforts; however, very little is known about how managers can operationally leverage the potential benefits of open innovation to create an innovative edge. This paper examines the value of alliance portfolio diversity and whether R&D human capital is the pathway through which alliance portfolio diversity influences innovation novelty. We reason that the absorptive capacity of R&D human capital determines a firm's potential gains from highly diverse alliance portfolios. Using data from the Spanish Technological Innovation Panel (PITEC) for the period 2005-2012, results support the curvilinear (inverted U-shaped) association between alliance portfolio diversity and firm innovation performance reported in studies, suggesting that not only too little, but also too much alliance portfolio diversity may be detrimental to firm innovation performance. Findings emphasise the value of alliance portfolio diversity in high-technology industries to achieve explorative performance objectives, given the technological complexity, market uncertainty and the divergent skill sets required for breakthrough innovations in these sectors. Further, we find evidence that R&D human capital plays an important role in innovation novelty by partially mediating the relationship between alliance partner diversity and firm innovation performance, emphasising the importance of internal capabilities to harness external knowledge assets. This study provides valuable insights to managers aiming to increase the effectiveness of their alliance portfolios. (C) 2016 Elsevier Ltd. All rights reserved.	[Garcia Martinez, Marian] Univ Kent, Kent Business Sch, Canterbury CT2 7PE, Kent, England; [Zouaghi, Ferdaous; Sanchez Garcia, Mercedes] Univ Publ Navarra, Dept Business, Edificio Madronos,Campus Arrosadia, Pamplona 31006, Spain	Martinez, MG (reprint author), Univ Kent, Kent Business Sch, Canterbury CT2 7PE, Kent, England.	m.garcia@kent.ac.uk; ferdaous.zouaghi@unavarra.es; mersan@unavarra.es	SANCHEZ, MERCEDES/I-1325-2015	SANCHEZ, MERCEDES/0000-0002-9959-5643	Public University of Navarra;  [AGL2015-65897-C3-1_R]	The authors gratefully acknowledge the funding received through the AGL2015-65897-C3-1_R research Project, and they would also like to express their gratitude for the financial support received from the Public University of Navarra for the acquisition of the pre-doctoral scholarship (Modality type B). A word of sincere appreciation to the two anonymous referees for their valuable comments and suggestions.		153	2	2	12	82	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0166-4972	1879-2383		TECHNOVATION	Technovation	JAN	2017	59						55	67		10.1016/j.technovation.2016.06.003				13	Engineering, Industrial; Management; Operations Research & Management Science	Engineering; Business & Economics; Operations Research & Management Science	EF8ZW	WOS:000390621500005		green_published			2018-08-16	
J	Vicenti, F; Blancho, G; Durrbach, A; Grannas, G; Grinyo, J; Meier-Kriesche, U; Polinsky, M; Zhao, H; Larsen, CP				Vicenti, F.; Blancho, G.; Durrbach, A.; Grannas, G.; Grinyo, J.; Meier-Kriesche, U.; Polinsky, M.; Zhao, H.; Larsen, C. P.			ACUTE REJECTION BY BELATACEPT 4-VS 8-WEEK DOSING: PHASE II STUDY 10-YEAR RESULTS	TRANSPLANT INTERNATIONAL			English	Meeting Abstract									[Durrbach, A.] Univ Hop Bicetre, Le Kremlin Bicetre, France; [Blancho, G.] Univ Hosp Nantes, Nantes, France; [Grannas, G.] Hannover Med Sch, Hannover, Germany; [Grinyo, J.] Univ Hosp Bellvitge, Barcelona, Spain; [Larsen, C. P.] Emory Univ, Transplant Ctr, Atlanta, GA 30322 USA; [Meier-Kriesche, U.; Polinsky, M.; Zhao, H.] Bristol Myers Squibb, Lawrenceville, NJ USA; [Vicenti, F.] Univ Calif San Francisco, San Francisco, CA 94143 USA								0	0	0	0	0	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0934-0874	1432-2277		TRANSPL INT	Transpl. Int.	JAN	2017	30			1		O5	6	6						1	Surgery; Transplantation	Surgery; Transplantation	EG0AE	WOS:000390692000006					2018-08-16	
J	Florman, S; Pestana, JM; Rial, MD; Rostaing, L; Kuypers, D; Matas, A; Wekerle, T; Grinyo, J; Meier-Kriesche, U; Polinsky, M; Zhao, H; Durrbach, A				Florman, S.; Medina Pestana, J.; Rial, M. Del C.; Rostaing, L.; Kuypers, D.; Matas, A.; Wekerle, T.; Grinyo, J.; Meier-Kriesche, U.; Polinsky, M.; Zhao, H.; Durrbach, A.			LONG-TERM OUTCOMES IN EPSTEIN-BARR VIRUS POSITIVE (EBV plus ) PATIENTS RECEIVING BELATACEPT (BELA) OR CYCLOSPORINE (CSA) IN BENEFIT-EXT	TRANSPLANT INTERNATIONAL			English	Meeting Abstract									[Rial, M. Del C.] Inst Nefrol, Buenos Aires, DF, Argentina; [Wekerle, T.] Med Univ Vienna, Vienna, Austria; [Kuypers, D.] Univ Hosp Leuven, Leuven, Belgium; [Medina Pestana, J.] Hosp Rim, Sao Paulo, Brazil; [Rostaing, L.] Univ Hosp Grenoble, Grenoble, France; [Durrbach, A.] Univ Hop Bicetre, Le Kremlin Bicetre, France; [Grinyo, J.] Univ Hosp Bellvitge, Barcelona, Spain; [Meier-Kriesche, U.; Polinsky, M.; Zhao, H.] Bristol Myers Squibb, Lawrenceville, NJ USA; [Matas, A.] Univ Minnesota, Minneapolis, MN USA; [Florman, S.] Mt Sinai Med Ctr, New York, NY 10029 USA			Kuypers, Dirk/D-4393-2018	Kuypers, Dirk/0000-0001-5546-9680				0	0	0	0	1	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0934-0874	1432-2277		TRANSPL INT	Transpl. Int.	JAN	2017	30			1		O9	7	7						1	Surgery; Transplantation	Surgery; Transplantation	EG0AE	WOS:000390692000010					2018-08-16	
J	Del Bello, A; Bestard, O; Visentin, J; Congy-Jolivet, N; Couzi, L; Neau, M; Jambon, F; Kamar, N				Del Bello, A.; Bestard, O.; Visentin, J.; Congy-Jolivet, N.; Couzi, L.; Neau, M.; Jambon, F.; Kamar, N.			ANTIBODY MEDIATED REJECTION IN COMBINED LIVER-KIDNEY TRANSPLANTATION	TRANSPLANT INTERNATIONAL			English	Meeting Abstract									[Bestard, O.] Ctr Hosp Barcelone, Dept Nephrol, Barcelona, Spain; [Visentin, J.] CHU Bordeaux, Lab Immunol, Bordeaux, France; [Couzi, L.; Jambon, F.] CHU Bordeaux, Serv Nephrol, Bordeaux, France; [Neau, M.] CHU Bordeaux, Serv Hepatol, Bordeaux, France; [Congy-Jolivet, N.] CHU Toulouse, Lab Imunol, Toulouse, France; [Del Bello, A.; Kamar, N.] CHU Toulouse Rangueil, Toulouse, France								0	0	0	1	2	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0934-0874	1432-2277		TRANSPL INT	Transpl. Int.	JAN	2017	30			1		O45	16	16						1	Surgery; Transplantation	Surgery; Transplantation	EG0AE	WOS:000390692000046					2018-08-16	
J	Machado-Leon, JL; de Ona, R; Baouni, T; de Ona, J				Luis Machado-Leon, Jose; de Ona, Rocio; Baouni, Tahar; de Ona, Juan			Railway transit services in Algiers: priority improvement actions based on users perceptions	TRANSPORT POLICY			English	Article						Tramway; Metro; Commuter rail; Customer satisfaction survey; Derived importance; Importance-performance analysis; Decision trees	CUSTOMER SATISFACTION; PUBLIC TRANSPORT; TREE APPROACH; BUS SERVICE; KEY FACTORS; QUALITY; PASSENGERS; METHODOLOGY; FRAMEWORK; ISTANBUL	The Algerian Government has recently promoted transportation projects such as the Algiers metro and tramway services that represent a key part of its political and financial effort to improve mobility in the country. However, public transport systems' profitability requires a thorough diagnosis of the services provided based on users' perceptions and expectations. That is, to invest money according to users' requirements. A methodological approach, which combines an Importance-Performance Analysis and a decision tree model, is proposed as means of analyzing rail services performance in Algiers and identifying the aspects that should be prioritized for improvement actions. Three railway transit services were analyzed in Algiers: the tramway, the metro and the commuter rail. More than 450 surveys were collected per mode. After applying the proposed methodology, results show that there are lines of action common to the three services, and specific strategies that may improve customer satisfaction and customer loyalty with the three railway transit services in Algiers. This is the first full experience analysis about service quality in Algiers' railways transit modes. The proposed two-step methodology is, for the first time, applied for analyzing service quality in public transport.	[Luis Machado-Leon, Jose; de Ona, Rocio; de Ona, Juan] Univ Granada, Dept Civil Engn, TRYSE Res Grp, ETSI Caminos Canales & Puertos, C Severo Ochoa S-N, E-18071 Granada, Spain; [Baouni, Tahar] Ecole Polytech Architecture & Urbanisme EPAU Alge, Lab Ville Urbanisme & Dev Durable, BP 177, Algiers 16200, Algeria	de Ona, R (reprint author), Univ Granada, Dept Civil Engn, TRYSE Res Grp, ETSI Caminos Canales & Puertos, C Severo Ochoa S-N, E-18071 Granada, Spain.	jlmachadoleon@ugr.es; rociodona@ugr.es; tbaouni@yahoo.fr; jdona@ugr.es			Spanish Initiatives of Development Cooperation Center at the University of Granada (CICODE) [1.1, C13P11_2014]	The authors would like to thank the Spanish Initiatives of Development Cooperation Center (Internal Cooperation Plan 2013, Programme 1.1) at the University of Granada (CICODE) that funded the international university cooperation project C13P11_2014. The authors also acknowledge the students from the VUDD laboratory (EPAU) for their collaboration on the data collection, the RATP El Djazair, SETRAM and SNTF for their cooperation during the surveys.		52	2	2	2	13	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0967-070X	1879-310X		TRANSPORT POLICY	Transp. Policy	JAN	2017	53						175	185		10.1016/j.tranpol.2016.10.004				11	Economics; Transportation	Business & Economics; Transportation	EF9IA	WOS:000390642700017					2018-08-16	
J	Yimer, M; Zenebe, Y; Mulu, W; Abera, B; Saugar, JM				Yimer, Mulat; Zenebe, Yohannes; Mulu, Wondemagegn; Abera, Bayeh; Saugar, Jose M.			Molecular prevalence of Entamoeba histolytica/dispar infection among patients attending four health centres in north-west Ethiopia	TROPICAL DOCTOR			English	Article						Entamoeba histolytica; Entamoeba dispar; molecular prevalence; Ethiopia	DISPAR; DIFFERENTIATION; AMEBIASIS; ASSAY; SAMPLES; PCR	The prevalence of amoebiasis is often overestimated owing to its epidemiological overlap with the non-pathogenic Entamoeba dispar. To provide evidence for this conjecture, a cross-sectional study was conducted from November 2013 to January 2015. A range of 180-200 mu g of semi-solid and formed stools and 200 mu L of diarrhoeic stool samples were used for DNA extraction from microscopically E. histolytica/dispar positive samples using the QIAamp (R) DNA Stool Mini Kit according to manufacturers' instructions. Nested PCR targeting 18S ribosomal RNA gene was used. In 422 microscopically positive E. histolytica/dispar stools, molecular prevalence revealed that E. histolytica infestation was present in only 1.7% (95% confidence interval [CI], 0.47-2.93) and E. dispar was found in 42.2% (95% CI, 37.49-46.91), while 56.2% (95% CI, 51.47-60.93) had neither E. histolytica nor E. dispar (P<0.001). We conclude that infestation with E. histolytica is rarer in our study areas than was previously believed. Hence, accurate differentiation of E. histolytica and E. dispar is crucial.	[Yimer, Mulat] Bahir Dar Univ, Coll Med & Hlth Sci, Bahir Dar, Ethiopia; [Zenebe, Yohannes] Bahir Dar Univ & Hlth Sci & Trop Infect Dis, Coll Med, Bahir Dar, Ethiopia; [Mulu, Wondemagegn] Bahir Dar Univ & Hlth Sci, Coll Med, Bahir Dar, Ethiopia; [Abera, Bayeh] Coll Med & Hlth Sci, Bahir Dar, Ethiopia; [Saugar, Jose M.] Carlos III Inst Hlth, Dept Amoebiasis, Madrid, Spain	Yimer, M (reprint author), Bahir Dar Univ, Coll Med & Hlth Sci, Bahir Dar, Ethiopia.	yimermulat@gmail.com		Saugar, Jose M/0000-0001-8950-5766	Biotechnology Research Institute, Bahir Dar University [1/340/1.11.10]	The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This project was sponsored by Biotechnology Research Institute, Bahir Dar University (grant no. 1/340/1.11.10).		23	3	3	2	6	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	0049-4755	1758-1133		TROP DOCT	Trop. Dr.	JAN	2017	47	1					11	15		10.1177/0049475515627236				5	Public, Environmental & Occupational Health; Tropical Medicine	Public, Environmental & Occupational Health; Tropical Medicine	EF8DC	WOS:000390557700004	26834117				2018-08-16	
